Block Title/Content,Block Content Preview,Block Position,Block Target URL,Block Type,Containing Page,Containing Page URL,Depth Level,Position Description,Scale 0 Page,Scale 0 URL,Scale 1 Page,Scale 1 URL,Scale 2 Page,Scale 2 URL,Scale 3 Page,Scale 3 URL,Scale Level,Total Blocks
Directional Perturbations in Adaptive Mode,,9,https://www.notion.so/ed25d1258e2f48d090d321cfeb7f7a25,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,9 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Bottom-Up Flow: Mathematical Properties in Static and Operational Modes,,7,https://www.notion.so/995359955d844730b337203fcbda7355,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,7 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
DELIVERABLE SUMMARY,,2,https://www.notion.so/2b5f832e52ca81f19aded4e7b51981fd,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,2 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Measure-Theoretic Multi-Scale Compositional Framework,,5,https://www.notion.so/2a05559a88b34fe3a843b86ce53ac63b,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,5 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
PROTOCOL SUMMARY,,3,https://www.notion.so/2b5f832e52ca81738cadf0c3769cb9d1,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,3 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
ARTICLE COMPOSITION FRAMEWORK,,1,https://www.notion.so/2b5f832e52ca810995b2c0ff34d09a56,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,1 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Extending Countable Additivity Beyond Parent-Child: Tone Thread Networks,,8,https://www.notion.so/5697c4572f96475396d543a373d6d678,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,8 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Tensor-Based Multi-Scale Compositional Framework,,6,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,6 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Directional Flows in the Multi-Scale Compositional Framework,,10,https://www.notion.so/579a4b73e01a479c9221089dbcb67db1,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,10 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
QUICK REFERENCE TABLE,,4,https://www.notion.so/2b5f832e52ca81548c7ae33f8cae617f,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,4 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
Conceptual Review: Multi-Scale vs Multi-Phase Analogy,,1,https://www.notion.so/ec63d04f7f6542eebc9084db25aa209e,Page Link,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,1,1 of 3,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,,,,,2,3
Automated Evaluation Tools,,3,https://www.notion.so/c04f3eb2e5cf40a0ac6d55445a6d5093,Page Link,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,1,3 of 8,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Linguistic Frameworks,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,,,2,8
Sampling-Claude Edition,,12,https://www.notion.so/2a7f832e52ca80779afffadeaf0b2fbe,Page Link,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,0,12 of 13,Compositional Analysis,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,,,,1,13
