Task name,Completed?,Assignee,Due,Priority,Assignee_status,Blocked by,Created time,Files,Is blocking,Last edited time,Parent-task,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
"Ch 21 HINT: Missouri-Montana Parallel - Same Absurdity, Different State",Not started,,,,upcoming,,"October 24, 2025 3:43 PM (CDT)",,,"October 25, 2025 6:50 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 7 HINT: Montana Institutions - Can't Mobilize Without Infrastructure,Not started,,,,upcoming,,"October 24, 2025 3:43 PM (CDT)",,,"October 24, 2025 3:43 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 3 HINT: Montana Economic Returns - The 80:1 ROI We're Ignoring,Not started,,,,upcoming,,"October 24, 2025 3:43 PM (CDT)",,,"October 24, 2025 3:43 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 2 HINT: Montana Students - Education Without Infrastructure,Not started,,,,upcoming,,"October 24, 2025 3:43 PM (CDT)",,,"October 24, 2025 3:43 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 1 HINT: Montana Missiles - Fiscal Priorities Revealed,Not started,,,,upcoming,,"October 24, 2025 3:43 PM (CDT)",,,"October 24, 2025 3:43 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Ch 4 MAIN: Montana Missiles vs. Broadband - Strategic Absurdity Case Study,Not started,,,,upcoming,,"October 24, 2025 3:43 PM (CDT)",,,"October 24, 2025 3:43 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,The Strategic Imperative of Anti-Missile Sky Coverage for America's Least Likely Target,,,,,default_task
Index,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Bibliography,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Appendix E: Case Studies,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 25, 2025 6:51 AM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,change in child directory,11.6 Electrician Union Worker from Albuquerque Who Ran for Office (https://www.notion.so/073facdb0959459c8b12cbecc2bed3d6?pvs=21),,,default_task
11.6 Electrician Union Worker from Albuquerque Who Ran for Office,Not started,,,,upcoming,,"October 15, 2025 5:47 PM (CDT)",,,"October 25, 2025 6:40 AM (CDT)",Appendix E: Case Studies (https://www.notion.so/ff1ef2fb6a3e444aac1c5b150194c080?pvs=21),Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Appendix D: Data Sources and Methodology,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Appendix C: Economic Models and Assumptions,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Appendix B: Legislative Templates,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Appendix A: Heatmap Gallery and Technical Data,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 28: Prosecuting Inequity — The Path Forward,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 27: Implementation Roadmap,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 26: The Equity Imperative in Climate Investment,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 25: Social Decay as Unified Metric,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 24: Climate Investment in the Age of Dollar Decline,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 23: Preventing Benefit Concentration in Hydrogen Deployment,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 22: Institutional Mobilization: Religious Capital Deployment,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 20: Connecting Policy Guardrails to Technical Pathways,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 21: Regional Implementation: Missouri as Case Study,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 19: End-Use Competition: Hydrogen vs. Battery-Electric Vehicles,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 18: Comparative Analysis: Biomass vs. Coal vs. Natural Gas,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 17: Financing Regimes and Macroeconomic Sensitivity,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 15: Scaling Economics: Single Units to 100-Unit Clusters,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 16: Operating Cost Structure and Sensitivity Analysis,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 14: Feedstock Scenarios and Supply Chain Economics,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 13: Biomass Gasification: Process Overview and Technology Options,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 12: Performance Accountability and Conditional Benefits,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 11: Parliament-Based Allocation and Stakeholder Representation,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
Chapter 10: Reusable Capital: Amplifying Public Investment Through Recycling,Not started,,,,upcoming,,"October 24, 2025 4:00 PM (CDT)",,,"October 24, 2025 4:00 PM (CDT)",,Climate (https://www.notion.so/8296e6b323ec4600be416c819a39dc2f?pvs=21),,Chapters,,,,,default_task
