Task name,Assignee,Assignee_status,Blocked by,Completed?,Created time,Due,Files,Is blocking,Last edited time,Parent-task,Priority,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
📊 QUICK REFERENCE MATRIX: Chapter Relevance by Reader Type,,upcoming,,Not started,"October 17, 2025 11:17 PM (CDT)",,,,"October 18, 2025 10:40 AM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Guideline-Reference-Outline,,,,,default_task
📚 READING PATH GUIDE: How Different Readers Should Navigate This Book,,upcoming,,Not started,"October 17, 2025 11:16 PM (CDT)",,,,"October 18, 2025 10:40 AM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Guideline-Reference-Outline,,,,,default_task
📑 COMPLETE CHAPTER OUTLINE: All 29 Chapters with Summaries,,upcoming,,Not started,"October 17, 2025 11:22 PM (CDT)",,,,"October 19, 2025 4:13 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Guideline-Reference-Outline,,,,,default_task
🔗 MASTER COORDINATION: US Embassy Story Cross-References,,upcoming,,Not started,"October 20, 2025 4:08 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 11 MAIN: US Embassy Congestion Charge Case Study,,upcoming,,Not started,"October 20, 2025 4:09 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 1 HINT: US Embassy Reference - Monopoly Concentration,,upcoming,,Not started,"October 20, 2025 4:09 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 5 HINT: US Embassy Reference - Transparency Gap,,upcoming,,Not started,"October 20, 2025 4:09 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 9 HINT: US Embassy Reference - Open vs Closed AI,,upcoming,,Not started,"October 20, 2025 4:10 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 12 HINT: US Embassy Reference - Algorithmic Auditing,,upcoming,,Not started,"October 20, 2025 4:10 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 24 HINT: US Embassy Reference - Geopolitical Competition,,upcoming,,Not started,"October 20, 2025 4:10 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 28 HINT: US Embassy Reference - Democratic Accountability,,upcoming,,Not started,"October 20, 2025 4:10 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
Ch 1 HINT: Ballroom Contract Reference - Monopoly and Selection Bias,,upcoming,,Not started,"October 21, 2025 3:11 PM (CDT)",,,,"October 24, 2025 4:02 PM (CDT)",,,AI Ethics (AI%20Ethics%20915e0bfe7fa442edaddb282995ddc951.md),,Pending Evaluation,,,,,default_task
