Task name,Assignee,Assignee_status,Blocked by,Completed?,Created time,Due,Files,Is blocking,Last edited time,Parent-task,Priority,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
"Chapter 1: Currency, Competitiveness, and the Erosion of National Capacity",,upcoming,,Not started,"October 15, 2025 10:59 AM (CDT)",,,,"October 15, 2025 3:18 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 2: Educational Infrastructure Collapse and Intergenerational Theft,,upcoming,,Not started,"October 15, 2025 10:59 AM (CDT)",,,,"October 15, 2025 12:48 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 3: The Digital Divide and Rural Economic Exclusion,,upcoming,,Not started,"October 15, 2025 10:59 AM (CDT)",,,,"October 15, 2025 12:48 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 4: Opportunity Cost and Strategic Misallocation: The Golden Dome Case,,upcoming,,Not started,"October 15, 2025 11:00 AM (CDT)",,,,"October 15, 2025 12:48 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 5: The Electric Vehicle Decarbonization Gap,,upcoming,,Not started,"October 15, 2025 11:00 AM (CDT)",,,,"October 15, 2025 12:48 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 6: Municipal Solid Waste: The 812-Kilogram American in Marathon of Life,,upcoming,,Not started,"October 15, 2025 11:00 AM (CDT)",,,,"October 15, 2025 12:18 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 7: Religious Institutional Resources and Accountability for Social Decay,,upcoming,,Not started,"October 15, 2025 11:00 AM (CDT)",,,,"October 15, 2025 11:00 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 9: Entrants vs. Incumbents: The Central Policy Challenge,,upcoming,,Not started,"October 15, 2025 11:01 AM (CDT)",,,,"October 15, 2025 11:01 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 8: Clean Energy Credit Concentration and the Equity Failure,,upcoming,,Not started,"October 15, 2025 11:00 AM (CDT)",,,,"October 15, 2025 11:00 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 10: Reusable Capital: Amplifying Public Investment Through Recycling,,upcoming,,Not started,"October 15, 2025 11:01 AM (CDT)",,,,"October 15, 2025 11:01 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 11: Parliament-Based Allocation and Stakeholder Representation,,upcoming,,Not started,"October 15, 2025 11:01 AM (CDT)",,,,"October 25, 2025 6:39 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 13: Biomass Gasification: Process Overview and Technology Options,,upcoming,,Not started,"October 15, 2025 11:02 AM (CDT)",,,,"October 15, 2025 11:02 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 12: Performance Accountability and Conditional Benefits,,upcoming,,Not started,"October 15, 2025 11:01 AM (CDT)",,,,"October 15, 2025 11:01 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 14: Feedstock Scenarios and Supply Chain Economics,,upcoming,,Not started,"October 15, 2025 11:02 AM (CDT)",,,,"October 15, 2025 11:02 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 15: Scaling Economics: Single Units to 100-Unit Clusters,,upcoming,,Not started,"October 15, 2025 11:02 AM (CDT)",,,,"October 15, 2025 11:02 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 16: Operating Cost Structure and Sensitivity Analysis,,upcoming,,Not started,"October 15, 2025 11:03 AM (CDT)",,,,"October 15, 2025 11:03 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 17: Financing Regimes and Macroeconomic Sensitivity,,upcoming,,Not started,"October 15, 2025 11:03 AM (CDT)",,,,"October 15, 2025 11:03 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 18: Comparative Analysis: Biomass vs. Coal vs. Natural Gas,,upcoming,,Not started,"October 15, 2025 11:03 AM (CDT)",,,,"October 15, 2025 11:03 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 19: End-Use Competition: Hydrogen vs. Battery-Electric Vehicles,,upcoming,,Not started,"October 15, 2025 11:04 AM (CDT)",,,,"October 15, 2025 11:04 AM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,,default_task
Chapter 21: Regional Implementation: Missouri as Case Study,,upcoming,,Not started,"October 15, 2025 11:05 AM (CDT)",,,,"October 15, 2025 3:11 PM (CDT)",,,Climate (Climate%208296e6b323ec4600be416c819a39dc2f.md),,Chapters and subsections,,,,Surgical Improvements,default_task
