Task name,Assignee,Assignee_status,Blocked by,Completed?,Created time,Due,Files,Is blocking,Last edited time,Parent-task,Priority,Project,Ref,Section,Status 1,Sub-tasks,Supporting work,Tags,Task type
📊 QUICK REFERENCE MATRIX: Chapter Relevance by Reader Type,,upcoming,,Not started,"October 16, 2025 12:41 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
"APPENDICES A-E: Technical Data, Legislative Templates, Economic Models, Methodology, Case Studies",,upcoming,,Not started,"October 16, 2025 12:38 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
📚 READING PATH GUIDE: How Different Readers Should Navigate This Book,,upcoming,,Not started,"October 16, 2025 12:40 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 25-28: PART V - CONCLUSIONS AND ACTIONABLE FRAMEWORKS,,upcoming,,Not started,"October 16, 2025 12:38 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 20-24: PART IV - INTEGRATION AND IMPLEMENTATION,,upcoming,,Not started,"October 16, 2025 12:38 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 13-19: PART III - TECHNICAL PATHWAYS (Biomass-to-Hydrogen),,upcoming,,Not started,"October 16, 2025 12:37 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 12: Performance Accountability,,upcoming,,Not started,"October 16, 2025 12:36 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 12: Performance Accountability and Conditional Benefits,,upcoming,,Not started,"October 16, 2025 12:35 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
Ch 12: Performance Accountability and Conditional Benefits,,upcoming,,Not started,"October 16, 2025 12:31 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
"Ch 1: Currency, Competitiveness, and the Erosion of National Capacity",,upcoming,,Not started,"October 16, 2025 12:28 PM (CDT)",,,,"October 18, 2025 10:26 AM (CDT)",,,Reader Paths (Reader%20Paths%201661ceb0f92f46f6996642e4a43e69cd.md),,Prosecuting Inequity,,,,,default_task
