Task name,Assignee,Assignee_status,Blocked by,Completed?,Created time,Due,Files,Is blocking,Last edited time,Parent-task,Parts,Priority,Project,Section,Status 1,Sub-tasks,Tags,Task type
شکستن چرخه و انقلاب نسل‌های آینده: تعهد به حقیقت و نقشه راه سیاست‌محور,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:06 PM (CST)",سنگینی میراث و چهار لایه‌ی ساختاری دروغ: نتیجه‌گیری تحلیلی (%D8%B3%D9%86%DA%AF%DB%8C%D9%86%DB%8C%20%D9%85%DB%8C%D8%B1%D8%A7%D8%AB%20%D9%88%20%DA%86%D9%87%D8%A7%D8%B1%20%D9%84%D8%A7%DB%8C%D9%87%E2%80%8C%DB%8C%20%D8%B3%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1%DB%8C%20%D8%AF%D8%B1%D9%88%D8%BA%20%D9%86%D8%AA%DB%8C%D8%AC%D9%87%E2%80%8C%DA%AF%DB%8C%D8%B1%DB%8C%20eecd808b5971437f9a07297cb3312df1.md),5,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
سنگینی میراث و چهار لایه‌ی ساختاری دروغ: نتیجه‌گیری تحلیلی,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:06 PM (CST)",,5,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,شکستن چرخه و انقلاب نسل‌های آینده: تعهد به حقیقت و نقشه راه سیاست‌محور (%D8%B4%DA%A9%D8%B3%D8%AA%D9%86%20%DA%86%D8%B1%D8%AE%D9%87%20%D9%88%20%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20%D9%86%D8%B3%D9%84%E2%80%8C%D9%87%D8%A7%DB%8C%20%D8%A2%DB%8C%D9%86%D8%AF%D9%87%20%D8%AA%D8%B9%D9%87%D8%AF%20%D8%A8%D9%87%20%D8%AD%D9%82%DB%8C%D9%82%D8%AA%20%D9%88%20%202cd11e7a4ed84096b555aac6a50275b8.md),,default_task
خسارت سوم: عادی‌سازی دروغ و تخریب سلامت روانی جمعی (فرسودگی واقعیت),,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:04 PM (CST)",,5,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,,,default_task
ذهنیت یک غیرآمریکایی از ایالات متحده آمریکا,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:12 PM (CST)",خسارت چهارم: آسیب به روابط بین‌الملل و اعتبار جهانی آمریکا (%D8%AE%D8%B3%D8%A7%D8%B1%D8%AA%20%DA%86%D9%87%D8%A7%D8%B1%D9%85%20%D8%A2%D8%B3%DB%8C%D8%A8%20%D8%A8%D9%87%20%D8%B1%D9%88%D8%A7%D8%A8%D8%B7%20%D8%A8%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D9%85%D9%84%D9%84%20%D9%88%20%D8%A7%D8%B9%D8%AA%D8%A8%D8%A7%D8%B1%20%D8%AC%D9%87%D8%A7%D9%86%DB%8C%2067cd87d7c8694063b69db043581493e9.md),5,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
خسارت چهارم: آسیب به روابط بین‌الملل و اعتبار جهانی آمریکا,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:12 PM (CST)",گسترش الگو از جعل ملیت تا جعل جغرافیا: تحلیل موردی «خلیج آمریکا» و «بازنویسی تاریخ» (%DA%AF%D8%B3%D8%AA%D8%B1%D8%B4%20%D8%A7%D9%84%DA%AF%D9%88%20%D8%A7%D8%B2%20%D8%AC%D8%B9%D9%84%20%D9%85%D9%84%DB%8C%D8%AA%20%D8%AA%D8%A7%20%D8%AC%D8%B9%D9%84%20%D8%AC%D8%BA%D8%B1%D8%A7%D9%81%DB%8C%D8%A7%20%D8%AA%D8%AD%D9%84%DB%8C%D9%84%20%D9%85%D9%88%D8%B1%D8%AF%DB%8C%20%20c9ceb381aebf4b218fc5f4758722e653.md),5,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,ذهنیت یک غیرآمریکایی از ایالات متحده آمریکا (%D8%B0%D9%87%D9%86%DB%8C%D8%AA%20%DB%8C%DA%A9%20%D8%BA%DB%8C%D8%B1%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7%DB%8C%DB%8C%20%D8%A7%D8%B2%20%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA%20%D9%85%D8%AA%D8%AD%D8%AF%D9%87%20%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7%2054a59043530d4cb1a833caaef855857d.md),,default_task
گسترش الگو از جعل ملیت تا جعل جغرافیا: تحلیل موردی «خلیج آمریکا» و «بازنویسی تاریخ»,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:06 PM (CST)",,5,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,خسارت چهارم: آسیب به روابط بین‌الملل و اعتبار جهانی آمریکا (%D8%AE%D8%B3%D8%A7%D8%B1%D8%AA%20%DA%86%D9%87%D8%A7%D8%B1%D9%85%20%D8%A2%D8%B3%DB%8C%D8%A8%20%D8%A8%D9%87%20%D8%B1%D9%88%D8%A7%D8%A8%D8%B7%20%D8%A8%DB%8C%D9%86%E2%80%8C%D8%A7%D9%84%D9%85%D9%84%D9%84%20%D9%88%20%D8%A7%D8%B9%D8%AA%D8%A8%D8%A7%D8%B1%20%D8%AC%D9%87%D8%A7%D9%86%DB%8C%2067cd87d7c8694063b69db043581493e9.md),,default_task
هزینه‌ی انسانی: چهره‌های پشت آمار قربانیان پاندمی و نابرابری (از الگوها به انسان‌ها),,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:04 PM (CST)",مرگ‌های قابل پیشگیری و نابرابری ساختاری: طبقه، نژاد و جغرافیا در پاندمی آمریکا (%D9%85%D8%B1%DA%AF%E2%80%8C%D9%87%D8%A7%DB%8C%20%D9%82%D8%A7%D8%A8%D9%84%20%D9%BE%DB%8C%D8%B4%DA%AF%DB%8C%D8%B1%DB%8C%20%D9%88%20%D9%86%D8%A7%D8%A8%D8%B1%D8%A7%D8%A8%D8%B1%DB%8C%20%D8%B3%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1%DB%8C%20%D8%B7%D8%A8%D9%82%D9%87%D8%8C%20%D9%86%DA%98%D8%A7%D8%AF%20754bd227c1504a67ba7e45bda7f65aa4.md),4,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
مرگ‌های قابل پیشگیری و نابرابری ساختاری: طبقه، نژاد و جغرافیا در پاندمی آمریکا,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:04 PM (CST)",,4,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,هزینه‌ی انسانی: چهره‌های پشت آمار قربانیان پاندمی و نابرابری (از الگوها به انسان‌ها) (%D9%87%D8%B2%DB%8C%D9%86%D9%87%E2%80%8C%DB%8C%20%D8%A7%D9%86%D8%B3%D8%A7%D9%86%DB%8C%20%DA%86%D9%87%D8%B1%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C%20%D9%BE%D8%B4%D8%AA%20%D8%A2%D9%85%D8%A7%D8%B1%20%D9%82%D8%B1%D8%A8%D8%A7%D9%86%DB%8C%D8%A7%D9%86%20%D9%BE%D8%A7%D9%86%D8%AF%D9%85%DB%8C%20%D9%88%20a0e7150ba35f49e5a7157e87b0c2eb32.md),,default_task
زمان‌بندی انکار، کوچک‌نمایی و وعده‌های دروغین: ارزیابی تطبیقی با کشورهای دیگر,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:08 PM (CST)",از انکار تا عادی‌سازی مرگ: خط سیر دروغ‌های کوویدی کاخ سفید (%D8%A7%D8%B2%20%D8%A7%D9%86%DA%A9%D8%A7%D8%B1%20%D8%AA%D8%A7%20%D8%B9%D8%A7%D8%AF%DB%8C%E2%80%8C%D8%B3%D8%A7%D8%B2%DB%8C%20%D9%85%D8%B1%DA%AF%20%D8%AE%D8%B7%20%D8%B3%DB%8C%D8%B1%20%D8%AF%D8%B1%D9%88%D8%BA%E2%80%8C%D9%87%D8%A7%DB%8C%20%DA%A9%D9%88%D9%88%DB%8C%D8%AF%DB%8C%20%DA%A9%20cd89e2a927cc4b1d8a80f32244363bd1.md),4,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,,,default_task
از انکار تا عادی‌سازی مرگ: خط سیر دروغ‌های کوویدی کاخ سفید,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:08 PM (CST)",,4,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,زمان‌بندی انکار، کوچک‌نمایی و وعده‌های دروغین: ارزیابی تطبیقی با کشورهای دیگر (%D8%B2%D9%85%D8%A7%D9%86%E2%80%8C%D8%A8%D9%86%D8%AF%DB%8C%20%D8%A7%D9%86%DA%A9%D8%A7%D8%B1%D8%8C%20%DA%A9%D9%88%DA%86%DA%A9%E2%80%8C%D9%86%D9%85%D8%A7%DB%8C%DB%8C%20%D9%88%20%D9%88%D8%B9%D8%AF%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C%20%D8%AF%D8%B1%D9%88%D8%BA%DB%8C%D9%86%20%D8%A7%D8%B1%D8%B2%DB%8C%209acef642794d465e8ed411548edf63d4.md),,default_task
ابعاد خسارت رمزارزها: پیامدهای حقوقی و اقتصادی برای «مدعیان» و اعتبار بازار,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:09 PM (CST)",وقتی مردم را تلکه کردند (سکه یادبود ترامپ) و بهره‌کشی دوم (سکه ملانیا): تحلیل زمان‌بندی یک شیادی (%D9%88%D9%82%D8%AA%DB%8C%20%D9%85%D8%B1%D8%AF%D9%85%20%D8%B1%D8%A7%20%D8%AA%D9%84%DA%A9%D9%87%20%DA%A9%D8%B1%D8%AF%D9%86%D8%AF%20(%D8%B3%DA%A9%D9%87%20%DB%8C%D8%A7%D8%AF%D8%A8%D9%88%D8%AF%20%D8%AA%D8%B1%D8%A7%D9%85%D9%BE)%20%D9%88%20%D8%A8%D9%87%D8%B1%D9%87%E2%80%8C%207f22dd0f6ae14a66891df2d9557db39b.md),3,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
وقتی مردم را تلکه کردند (سکه یادبود ترامپ) و بهره‌کشی دوم (سکه ملانیا): تحلیل زمان‌بندی یک شیادی,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:09 PM (CST)",,3,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,ابعاد خسارت رمزارزها: پیامدهای حقوقی و اقتصادی برای «مدعیان» و اعتبار بازار (%D8%A7%D8%A8%D8%B9%D8%A7%D8%AF%20%D8%AE%D8%B3%D8%A7%D8%B1%D8%AA%20%D8%B1%D9%85%D8%B2%D8%A7%D8%B1%D8%B2%D9%87%D8%A7%20%D9%BE%DB%8C%D8%A7%D9%85%D8%AF%D9%87%D8%A7%DB%8C%20%D8%AD%D9%82%D9%88%D9%82%DB%8C%20%D9%88%20%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%DB%8C%20%D8%A8%D8%B1%D8%A7%DB%8C%202d06de3119dd47ed8a9b36e5d6372565.md),,default_task
استراتژی دیجیتال: فروش امید و ساختار اقتصادی به نفع فروشنده (تحلیل پروژه‌های دبلیو. ال. اِف.),,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:09 PM (CST)",,3,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
(چارچوب نظری: شکل گیری شخصیت و الگوپذیری از والدین ( بعد روانشناسی,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:10 PM (CST)",سفیدشویی ریشه‌های آلمانی و نهادینگی نژادپرستی در کسب‌وکار مسکن (%D8%B3%D9%81%DB%8C%D8%AF%D8%B4%D9%88%DB%8C%DB%8C%20%D8%B1%DB%8C%D8%B4%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C%20%D8%A2%D9%84%D9%85%D8%A7%D9%86%DB%8C%20%D9%88%20%D9%86%D9%87%D8%A7%D8%AF%DB%8C%D9%86%DA%AF%DB%8C%20%D9%86%DA%98%D8%A7%D8%AF%D9%BE%D8%B1%D8%B3%D8%AA%DB%8C%20%D8%AF%D8%B1%20%DA%A9%20bbf7399dc515443c96ccec2e30b04017.md),2,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
سفیدشویی ریشه‌های آلمانی و نهادینگی نژادپرستی در کسب‌وکار مسکن,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:10 PM (CST)",,2,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,(چارچوب نظری: شکل گیری شخصیت و الگوپذیری از والدین ( بعد روانشناسی ((%DA%86%D8%A7%D8%B1%DA%86%D9%88%D8%A8%20%D9%86%D8%B8%D8%B1%DB%8C%20%D8%B4%DA%A9%D9%84%20%DA%AF%DB%8C%D8%B1%DB%8C%20%D8%B4%D8%AE%D8%B5%DB%8C%D8%AA%20%D9%88%20%D8%A7%D9%84%DA%AF%D9%88%D9%BE%D8%B0%DB%8C%D8%B1%DB%8C%20%D8%A7%D8%B2%20%D9%88%D8%A7%D9%84%D8%AF%DB%8C%D9%86%20%20acc74fda4569416ba5af6c17c7d8bd63.md),,default_task
از طلا در کلوندایک تا رمزارزهای بستر بلاکچین,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:10 PM (CST)",,2,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
خسارت دوم: فرسایش اعتماد عمومی به نهادها و انحلال گفتمان علمی/تخصصی,,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:00 PM (CST)",,1,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
"خسارت اول: تخریب دموکراسی و فرایند انطباق نهادها ",,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:00 PM (CST)",,1,,80 (80%2099e25a62262441149908785f89ec4d14.md),,,,,default_task
" (مطالعه موردی: 6 ژانویه) دروغ به‌عنوان راهبرد: از کمپین 2016 تامقاومت در برابر خواست ملت",,upcoming,,Not started,"December 2, 2025 3:45 PM (CST)",,,,"December 2, 2025 4:00 PM (CST)",,1,,80 (80%2099e25a62262441149908785f89ec4d14.md),,Approved,,,default_task
