Title/Name,Containing Page URL,Content Preview,Entity Type,Entity URL,Scale 0 URL,Scale 1 URL,Scale 2 URL,Scale 3 URL,Scale Level
ARTICLE COMPOSITION FRAMEWORK,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,"28 chapters, 110+ subsections; tone allocations A:30.2%, T:27.8%, G:20.1%, P:21.9%; 12,000-15,000 words",Page,https://www.notion.so/2b5f832e52ca810995b2c0ff34d09a56,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b5f832e52ca810995b2c0ff34d09a56,,,1
Extending Countable Additivity Beyond Parent-Child: Tone Thread Networks,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Tone thread networks extending countable additivity beyond parent-child relations,Page,https://www.notion.so/2b7f832e52ca809cba71cbb3418fca9d,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b7f832e52ca809cba71cbb3418fca9d,,,1
Compositional Analysis,,Root page for compositional analysis framework; climate article writing system,Page,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,,,,0
PROTOCOL SUMMARY,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Protocol documentation for compositional analysis workflows,Page,https://www.notion.so/2b5f832e52ca80e69af6c438cd59e9af,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b5f832e52ca80e69af6c438cd59e9af,,,1
Measure-Theoretic Multi-Scale Compositional Framework,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,"σ-algebras, filtrations, Radon-Nikodym derivatives; w_mwt as boundary condition interpretation",Page,https://www.notion.so/2a05559a88b34fe3a843b86ce53ac63b,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a05559a88b34fe3a843b86ce53ac63b,,,1
QUICK REFERENCE TABLE,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Quick reference for framework parameters and key values,Page,https://www.notion.so/2b5f832e52ca8042ac15db8df3f3e530,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b5f832e52ca8042ac15db8df3f3e530,,,1
Tensor-Based Multi-Scale Compositional Framework,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,"Scale hierarchy Φ, compositional space T, state tensors C_{i,k}, shear tensor analogy",Page,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,,,1
DELIVERABLE SUMMARY,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Summary of all deliverables for the compositional analysis framework,Page,https://www.notion.so/2b5f832e52ca80c38a75cca5dfbf0aa7,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b5f832e52ca80c38a75cca5dfbf0aa7,,,1
Directional Perturbations in Adaptive Mode,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Directional perturbation analysis for adaptive compositional modes,Page,https://www.notion.so/2b7f832e52ca8013b9c0e29bfa08af8a,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b7f832e52ca8013b9c0e29bfa08af8a,,,1
Bottom-Up Flow: Mathematical Properties in Static and Operational Modes,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Mathematical properties for static vs operational compositional modes,Page,https://www.notion.so/2b7f832e52ca80148eb4c6a06a3b20de,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2b7f832e52ca80148eb4c6a06a3b20de,,,1
Coherence Assessment Procedures,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,Coherence evaluation procedures and methodologies,Page,218,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,218,,2
Linguistic Frameworks,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,"Assessment procedures, coherence evaluation, automated tools, genre-specific protocols, rubrics",Page,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,,,1
Assessment Criteria Catalog,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,Catalog of assessment criteria for linguistic evaluation,Database,219,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,219,,2
Conceptual Review: Minimum Compositional Unit,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Boundary condition vs control volume interpretations for w_mwt (Option A chosen),Page,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,https://www.notion.so/3dc7561bce634e13af14be26f941f15f,,2
Directional Flows in the Multi-Scale Compositional Framework,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Directional flow analysis within the multi-scale compositional framework,Page,215,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,215,,,1
Conceptual Review: Multi-Scale vs Multi-Phase Analogy,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,Clarification on multi-scale vs multi-phase analogy distinctions,Page,https://www.notion.so/ec63d04f7f6542eebc9084db25aa209e,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,https://www.notion.so/ec63d04f7f6542eebc9084db25aa209e,,2
Action Board,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,Task tracking database for compositional analysis actions,Database,216,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,216,,,1
Action Board Data Source,216,"Data source for Action Board; schema: Task, Category, Status, Priority, etc.",Data Source,21,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,216,,,1
Sampling-Claude Edition,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,"18 validated sampling methodologies; 65-80% inspection reduction, 85-95% defect detection",Page,https://www.notion.so/2a7f832e52ca80779afffadeaf0b2fbe,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a7f832e52ca80779afffadeaf0b2fbe,,,1
Derivatives and disintegration of Borel measures,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,"Bayesian non-parametrics, persistent homology, hierarchical Dirichlet processes",Page,https://www.notion.so/2baf832e52ca808f977fc5da7645e92f,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/b2dc50a1c1c54996bd0ade716bb57739,https://www.notion.so/2baf832e52ca808f977fc5da7645e92f,,2
Layer-Level Interaction Architecture,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,Architecture for layer-level interactions in linguistic analysis,Page,230,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,230,,2
Multi-Layer Quality Recommendation Heatmap,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,Entity-grid-based visualization for 60+ measures across 6 linguistic layers,Page,https://www.notion.so/1cbcd2ca081448d38eb42368baea4fae,https://www.notion.so/2b5f832e52ca80f3b575d5a5dc16cc1e,https://www.notion.so/2a3f832e52ca806ba576d30cd8f4e2a5,https://www.notion.so/1cbcd2ca081448d38eb42368baea4fae,,2
